unit_id,project_id,category,task_name,language,size_tier,target_files,target_functions,target_loc,planned_files,architecture_attempt,architecture_api_base_url,architecture_model,architecture_rebuild_reason,architecture_team_sha256,initial_repository_tree_sha256,actual_files,actual_source_files,actual_functions,actual_physical_source_loc,rng_seed,selected_attempt,attempt_count,evaluator_return_code,accepted_repository_tree_sha256,verified_replay_count,accepted_evidence
p01_snake_game_cpp,1,Games,Snake game,cpp,medium,7,31,590,12,11,https://api.chatanywhere.tech/v1,gpt-5,,6d38ed734a9368bde06574600fd9c5343731af32998a6c9fca8094daf7c548a3,ef91e3b7365cc187397d5f02934ea6993f8cf5af020d7ffe11b2f340baa13649,12,11,26,612,666643921,1,1,0,35102df7bf0d0263f4079d7ced3caf238a9685788b7f85d1742879e0136061ea,1,units/p01_snake_game/cpp/accepted/evidence.json
p01_snake_game_java,1,Games,Snake game,java,medium,7,31,590,11,5,https://api.chatanywhere.tech/v1,gpt-5,,b87da36a36b6bd69971e6d995176137e78335c25c94068c640ec0700eb17da80,17b09efc893713621cc2223043a261a979c53df10a1ae289f96966ce2c68d94f,11,10,49,927,1082638472,4,4,0,489b8bc56e580ef8ef3e618a30a27efaa120a6ab10e90b56a9294e5e9e66aac0,1,units/p01_snake_game/java/accepted/evidence.json
p01_snake_game_python,1,Games,Snake game,python,medium,7,31,590,11,8,https://api.chatanywhere.tech/v1,gpt-5,,d950dbbda42eb848e2889512d2584d5ab0ffe0660cc65464df972c66b55fa13f,3df97d956cf316cabd5a608b61c85435c8f77ec5217bbae9d50be4d15c01a201,11,10,27,525,3736547328,1,1,0,8ce7f443b58d4e22acae98cf115e877be069600932949cb00ce6126baae947f2,1,units/p01_snake_game/python/accepted/evidence.json
p02_flappy_bird_game_cpp,2,Games,Flappy bird game,cpp,medium,8,35,700,15,6,https://api.chatanywhere.tech/v1,gpt-5,,ced24fb585f3f7def95b013caeedb1913a630242951b199cdc7445e7491d6193,789c1efa82bb2d855bc96a93855d72b96f359cd2e3148d56d0a7055da274e1ea,15,14,41,696,1192725353,3,3,0,e35ac1d9cf6d5ce4d7aa4a5ff1dbd69ba89a2671ce8f112ec0d53509f3362666,1,units/p02_flappy_bird_game/cpp/accepted/evidence.json
p02_flappy_bird_game_java,2,Games,Flappy bird game,java,medium,8,35,700,10,8,https://api.chatanywhere.tech/v1,gpt-5,,8b0e52ae4c7090b792426c2e147b798b0d72baea83f9a3a8004de06284cf07a6,ca2e767a2d612062c7dd90f65673ebe261073c15968abe9b81979e8054181e5d,10,9,38,687,2540127563,1,1,0,5ebf0bd9abe406aec04f715b18861d18d34c7fd5f37bf1a0d0b540d9d7825dee,1,units/p02_flappy_bird_game/java/accepted/evidence.json
p02_flappy_bird_game_python,2,Games,Flappy bird game,python,medium,8,35,700,10,4,https://api.chatanywhere.tech/v1,gpt-5,,0199e47687655dee3c403fcbe05c29a39e70ded3d5393dadb1ce32edc3b308d5,095bed916afa7128f477c33dd1ec5e3fdb73cb91a6ba31fbacacd301f87f39b0,10,9,19,519,1298988375,6,6,0,12ef0464c31ff38d596ade645f1752b68ab86703b2602b51318f7bbe3e86e78d,1,units/p02_flappy_bird_game/python/accepted/evidence.json
p03_game_2048_cpp,3,Games,2048 game,cpp,medium,7,33,650,11,6,https://api.chatanywhere.tech/v1,gpt-5,,f822e69d7c5c07a133e0431d9c1d70eb643f8378b2cc9e3a3ffda2ad39cb3f1b,f210e65cf8384620a9ced892f3f0183a4f5fb6899c6e87d8cbbfaee443125c84,11,10,28,728,1673168053,1,1,0,7e74c4eacdbe7fd8a30a89cb3c8782b16117ba4ff2132aa458b9174f791468b5,1,units/p03_game_2048/cpp/accepted/evidence.json
p03_game_2048_java,3,Games,2048 game,java,medium,7,33,650,11,6,https://api.chatanywhere.tech/v1,gpt-5,,f8f397b2e0ad180d5b702d1aea82987017d02c69b07953f0003c97b2407f41d3,8427109f247a02d66e4f3de4bb7b59a776c0187140a90720627d292cb178ae8c,11,10,30,718,887850646,1,1,0,8039ee8715f0a75831a03f39f79680d3b18da505cdfcc0228af3698a5998ed76,1,units/p03_game_2048/java/accepted/evidence.json
p03_game_2048_python,3,Games,2048 game,python,medium,7,33,650,8,6,https://api.chatanywhere.tech/v1,gpt-5,,dc0c4677df912f39dc9ab08d5364a3fc7e9f333e50bc4b33b4f3a0ad8589577a,e4a0f80a91dee6a2acc2075f923d890b07041bf7e01b5125c4b4cc3149373901,8,7,18,444,100489887,2,2,0,bbffa20a26a8edda6016f18736649edf5ac35cbf2aee15f4187cf35164594f8d,1,units/p03_game_2048/python/accepted/evidence.json
p04_caro_game_cpp,4,Games,Caro game,cpp,medium,8,38,776,14,3,https://api.chatanywhere.tech/v1,gpt-5,,fd330e36d71a5ce72db57a15088c1b3196b620a3efb3f93baf9314a424c5925f,553108e7eab6a4db093e04c9f9d1f7434fa4012d12d330c44e0987511f9513a1,14,13,26,844,1922813371,6,6,0,bc2d07912f185a5dedb8b431a916ed059a1e19091dce4e37bf99149465a98380,1,units/p04_caro_game/cpp/accepted/evidence.json
p04_caro_game_java,4,Games,Caro game,java,medium,8,38,776,9,7,https://api.chatanywhere.tech/v1,gpt-5,,7277a4988d707a85f7f7fd80ba9d050f787d023d3c2b541ea6d7774281cc43d7,679157bf7200c11344648fce11f484f5cfa3d2c3d8671edc7dd689187df6d161,9,8,41,759,3365300451,1,1,0,ef5bdd54c2ac79257d251740a897f691b4617e2c6614309f628a9011aebdbcff,1,units/p04_caro_game/java/accepted/evidence.json
p04_caro_game_python,4,Games,Caro game,python,medium,8,38,776,10,4,https://api.chatanywhere.tech/v1,gpt-5,,8ab8042fa8dc789cad1d74394df431bf9753d27f1d6d5d91c944f6e183c699fe,6a84d4151b099130cc1a4fa14cd11745b8252576094922a8fe6deaf5e8d11492,10,9,22,487,812711061,1,1,0,3e8469ca925c93fc71f38fdb09df72f9ac8d56882437dd585585e9da2bea336d,1,units/p04_caro_game/python/accepted/evidence.json
p05_brick_breaker_game_cpp,5,Games,Brick breaker game,cpp,medium,7,39,628,19,18,https://api.chatanywhere.tech/v1,gpt-5,,ca42b769e11a04a99e246503fb81f240028f04967e3cc3b602cc2a2993e71f10,2ecfdec83a7e479ec5320e6c91bc24d755a2b64f11643a85cd6f7f3aacc86871,19,18,37,603,1300987923,2,2,0,f35231bc65882a6f9590c139e55b1d83fb78d7d70fe5f3a746796f6f1cf864b8,1,units/p05_brick_breaker_game/cpp/accepted/evidence.json
p05_brick_breaker_game_java,5,Games,Brick breaker game,java,medium,7,39,628,9,9,https://api.chatanywhere.tech/v1,gpt-5,,fd409171b75f9ae34cee44c935e48b5236c55f6661e9e0eba1a17f0c60cd328c,96dc22fff13aa590bf8239bc10a48598f9f6122b23f098e7c4e2522d4728d6b3,9,8,45,844,2697919693,1,1,0,eecb2a541b35b9b12e5df069b3d081fda0e482f893df8d76b9a219101173f1d3,1,units/p05_brick_breaker_game/java/accepted/evidence.json
